Title;Link;Rating;Description;Price;Time
De Globe Cafe;/lucknow/de-globe-cafe-1-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Fast Food, Chinese, Sichuan;₹150 for one;
The Chocolate Room;/lucknow/the-chocolate-room-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Bakery, Cafe, Coffee, Salad, Italian, Fast Food, Chinese, Mexican;₹400 for one;
Khana Badosh;/lucknow/khana-badosh-rajajipuram/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Chinese, Street Food, Mughlai;₹200 for one;
Ghar Ka Swad;/lucknow/ghar-ka-swad-shekhpur/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian;₹150 for one;
Prem Non Veg Point;/lucknow/prem-non-veg-point-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;Biryani, Fast Food, Mughlai, North Indian, Rolls, Beverages;₹200 for one;
Siraj Restaurant;/lucknow/siraj-restaurant-1-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Mughlai, Biryani, North Indian;₹150 for one;
Zayeka Ghar Ka;/lucknow/zayeka-ghar-ka-shekhpur/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Street Food;₹100 for one;
Chawlas 2;/lucknow/chawlas-2-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Mughlai, Biryani, Chinese;₹250 for one;
Mezbaan-E-Awadh;/lucknow/mezbaan-e-awadh-1-husain-ganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;New;Lucknowi, Mughlai, Kebab;₹250 for one;
McDonald's;/lucknow/mcdonalds-2-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;Burger, Fast Food, Coffee, Cafe, Beverages;₹250 for one;
Royal Sky;/lucknow/royal-sky-1-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Mughlai, Chinese, Continental, Sichuan, Fast Food, Desserts, Beverages;₹250 for one;
Purvanchal Handi Hut;/lucknow/purvanchal-handi-hut-lalbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Mughlai, Fast Food;₹250 for one;
Barbeque Nation;/lucknow/barbeque-nation-gomti-nagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts;₹250 for one;
Shabaan Non-Veg Tikka Corner;/lucknow/shabaan-non-veg-tikka-corner-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;Mughlai, BBQ;₹250 for one;
Urban Darbar;/lucknow/urban-darbar-lalbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;New;North Indian, Mughlai, Biryani, Seafood, Desserts;₹250 for one;
Shahi Zaiqa;/lucknow/shahi-zaiqa-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.4;Awadhi, Kebab, Mughlai;₹250 for one;
Faheem Muradabadi Chicken Biryani Centre;/lucknow/faheem-muradabadi-chicken-biryani-centre-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Mughlai, Biryani;₹250 for one;
Asian Kitchen;/lucknow/asian-kitchen-1-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.7;Chinese, Momos;₹250 for one;
Gyan Dhaba;/lucknow/gyan-dhaba-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Chinese, Mughlai;₹250 for one;
Chicken Junction;/lucknow/chicken-junction-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Biryani;₹100 for one;
Moti Mahal Delux;/lucknow/moti-mahal-delux-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;North Indian, Chinese, Sandwich, Pasta, Pizza, Biryani, Kebab, Salad;₹100 for one;
Al-Baik;/lucknow/al-baik-1-lalbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Fast Food, Burger, Beverages;₹100 for one;
Kareem Kababi;/lucknow/kareem-kababi-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;Kebab, Lucknowi, Rolls, Burger, Biryani;₹100 for one;
Famous Fish Fry;/lucknow/famous-fish-fry-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Awadhi, Fast Food;₹100 for one;
UBQ by Barbeque Nation;/lucknow/ubq-by-barbeque-nation-gomti-nagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, BBQ, Biryani, Street Food, Kebab, Beverages, Desserts;₹100 for one;
Ranbirs;/lucknow/ranbirs-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Chinese, Shake;₹100 for one;
Biryani House;/lucknow/biryani-house-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.7;Chinese, North Indian, Rolls, Momos, Fast Food;₹100 for one;
Taste The Best;/lucknow/taste-the-best-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Mughlai, Rolls;₹100 for one;
AkbariGate;/lucknow/akbarigate-mahanagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Mughlai, Biryani, BBQ, Rolls;₹100 for one;
Desi Mutton;/lucknow/desi-mutton-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Kebab, Rolls;₹100 for one;
Pizza Mania;/lucknow/pizza-mania-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Pizza, Burger, Sandwich, Beverages;₹100 for one;
Firangi Bake;/lucknow/firangi-bake-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;Italian, Mexican, Pasta;₹300 for one;
The Biryani Life;/lucknow/the-biryani-life-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;Biryani, Mughlai, Kebabs;₹300 for one;
Rovers;/lucknow/rovers-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Mughlai, Asian, Pizza, Fast Food, Desserts, Beverages;₹300 for one;
Heart In The Kitchen;/lucknow/heart-in-the-kitchen-1-shekhpur/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;North Indian, Chinese;₹300 for one;
Biryani Junction;/lucknow/biryani-junction-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Biryani;₹300 for one;
Kareem's;/lucknow/kareems-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;Mughlai, North Indian, Biryani;₹300 for one;
Pizzaport & Cafe;/lucknow/pizzaport-cafe-aliganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Pizza, Chinese, Fast Food, Burger;₹300 for one;
Desi Kitchen;/lucknow/desi-kitchen-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Chinese, Fast Food, Beverages;₹300 for one;
Kool Break;/lucknow/kool-break-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;Continental, North Indian, Chinese, Thai, Sandwich, Pizza, Seafood;₹300 for one;
Awadh Food Point Homemade;/lucknow/awadh-food-point-homemade-shekhpur/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;North Indian, Awadhi;₹300 for one;
Champaran Poorvanchal Mutton Handi;/lucknow/champaran-poorvanchal-mutton-handi-rajajipuram/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.0;North Indian, Biryani;₹300 for one;
Al-Gazal Baik;/lucknow/al-gazal-baik-mahanagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Burger, Fast Food, Shake;₹300 for one;
Tikke Da Ikka;/lucknow/tikke-da-ikka-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Mughlai, Fast Food, North Indian;₹250 for one;
Champaran Meat House;/lucknow/champaran-meat-house-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.7;North Indian, Biryani;₹250 for one;
Karim's - Original From Jama Masjid Delhi-6;/lucknow/karims-original-from-jama-masjid-delhi-6-1-aliganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;North Indian, Mughlai, Ice Cream, Beverages, Awadhi, Biryani;₹250 for one;
The Desi Zayka;/lucknow/the-desi-zayka-1-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Biryani, Fast Food, Street Food;₹250 for one;
The Marigold - Fine Dine Restaurant;/lucknow/the-marigold-fine-dine-restaurant-2-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Continental, Chinese, Momos, Pizza, Fast Food, Desserts, Beverages;₹250 for one;
Limone Lounge;/lucknow/limone-lounge-mahanagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Mughlai, Chinese, Salad, Pizza, Biryani, Fast Food, Beverages;₹250 for one;
Cafe Delhi Heights;/lucknow/cafe-delhi-heights-gomti-nagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;Continental, North Indian, Chinese, Street Food, Fast Food, Seafood, Desserts, Beverages;₹250 for one;
Tunday Kababi;/lucknow/tunday-kababi-1-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Kebab, Mughlai, Rolls, Biryani;₹250 for one;
The Peddler's;/lucknow/the-peddlers-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Shake, Beverages, Desserts;₹250 for one;
Pankaj Non Veg Point;/lucknow/pankaj-non-veg-point-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Mughlai, Awadhi, Chinese, Fast Food, Rolls;₹250 for one;
Mughal Kakori Kabab;/lucknow/mughal-kakori-kabab-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Mughlai, Kebab, Biryani;₹250 for one;
Singh Non Veg Point;/lucknow/singh-non-veg-point-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.5;North Indian, Mughlai;₹250 for one;
Burger Point;/lucknow/burger-point-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Burger, Sandwich, Pizza, Momos, Wraps, Chinese, Fast Food, Beverages;₹100 for one;
Barkaas Indo-Arabic Restaurant;/lucknow/barkaas-indo-arabic-restaurant-1-aliganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Arabian, Mughlai, Kebab, Mandi, Fast Food, Salad, Desserts, Beverages;₹100 for one;
Z Food Life;/lucknow/z-food-life-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian;₹100 for one;
Ajay Non Veg Point;/lucknow/ajay-non-veg-point-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Chinese, Mughlai;₹100 for one;
Chef Nikhats Kitchen;/lucknow/chef-nikhats-kitchen-rajajipuram/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.4;Mughlai, Biryani, Kebab;₹100 for one;
Moti Mahal Delux- Tandoori Trail;/lucknow/moti-mahal-delux-tandoori-trail-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Chinese, Mughlai, Kebab, Seafood, Biryani;₹100 for one;
Noodle Station;/lucknow/noodle-station-1-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Chinese, Momos, North Indian, Fast Food, Beverages;₹100 for one;
Dharmendra  Bhojanalay And Restaurant;/lucknow/dharmendra-bhojanalay-and-restaurant-aishbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;New;North Indian, Mughlai, Biryani, Seafood;₹100 for one;
Wow Uncle;/lucknow/wow-uncle-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.6;Biryani, North Indian;₹100 for one;
Kebabchi;/lucknow/kebabchi-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Kebab;₹100 for one;
Foodie Baba;/lucknow/foodie-baba-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Pizza, Sandwich, Burger, Fast Food, Salad, Shake, Beverages;₹100 for one;
Bhargavas Restaurant Banquet;/lucknow/bhargavas-restaurant-banquet-1-aashiana/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Chinese, Fast Food, Rolls, North Indian, Desserts, Beverages;₹100 for one;
